b6,T60,T100,T365,M365,NK365,CTL365,B365,t_to_1e5,t_to_1e6,auc_0_120
1.0e-9,6167.993977320371,21142.030278303246,9.752244534321215e6,487637.1582725149,716.2356457196854,15.752317236105695,204.9875748639988,122.0,136.0,1.437704945191658e6
3.0e-9,6141.50533140871,20905.44335033635,9.752203527738724e6,487635.1119271486,716.2386450464608,15.75238322232237,204.9883488140763,122.0,137.0,1.41775456802579e6
1.0e-8,6049.848881398043,20106.684134405605,9.752060003263399e6,487627.949644246,716.2491429963231,15.7526135631221,204.99135450137322,123.0,137.0,1.351717684459782e6
3.0e-8,5796.748654542475,18052.389884576154,9.751649920937967e6,487607.4853357315,716.279139777561,15.753271705621694,204.99996004859372,126.0,140.0,1.1907158956369825e6
1.0e-7,5004.0502310658185,12833.343848156766,9.75021448261002e6,487535.85222503636,716.384160084744,15.755575946486937,205.0300835323837,136.0,151.0,829451.396113259
3.0e-7,3351.3557834831136,5992.164392944345,9.746109503830291e6,487330.8853682492,716.6848310731172,15.76217690432909,205.11629318270502,182.0,197.0,416096.84938937443
1.0e-6,963.7050271193951,1125.1368698510944,1214.7033182536654,560.7344885212435,220024.7785627856,387.8378740139881,131452.4727856585,NaN,NaN,97276.06415712541
3.0e-6,46.42101276358416,47.063347606260756,47.111029831682956,502.3556784540003,228406.52976403633,18.266582329992747,142378.04519067673,NaN,NaN,4798.380429241666
1.0e-5,0.00211837111200344,0.002083221542353758,0.0020825627431002138,499.9999087969042,228758.14148865797,1.419389149270833,142857.10014128414,NaN,NaN,3.889938180419241
