index,step,q6,q5,b6,b5,T,M,NK,CTL,B,logT,residual,smallest_singular_value,second_smallest_singular_value,b20,leading_nonzero_real_eigenvalue
11,10,-6.529330721306652,-4.542870456309465,2.9557607562553416e-7,2.865032439725725e-5,4447.264499541791,722.3631260862765,199730.82056514302,1060.9401112354415,245725.3783412693,3.6481906030515683,3.2752492519560685e-14,2.2939125502888893e-15,0.04139185868722158,0.019621383956481588,-0.04317827100918403
12,11,-6.5065537514798315,-4.499138451411321,3.1149153472778013e-7,3.1685571781667104e-5,4413.6875749161345,720.684281342615,199922.35128677177,1055.8678666078993,233452.92451757594,3.644899974212347,2.7041009394297065e-14,1.9998456890702733e-15,0.04350431241356099,0.01963944682032009,-0.04528808229068742
13,12,-6.482952523636066,-4.4558482775949795,3.2888758236458293e-7,3.50067443041627e-5,4381.0196795863385,719.0508880126511,200109.04954394314,1050.9021765463708,221378.42342875787,3.6416743236392373,2.2139768058433185e-14,1.695145333804457e-15,0.04580336304381209,0.019661387231720135,-0.04755846770806069
14,13,-6.458566741465735,-4.412998164278526,3.4788304160422363e-7,3.863686101939897e-5,4349.370043744712,717.4684076021425,200290.26124749522,1046.0621335281394,209553.05539520702,3.638526199741135,1.7629747615152804e-14,1.4319590651687254e-15,0.04829988329927592,0.01968702023144469,-0.04999858608263124
15,14,-6.433437727381084,-4.370583388911011,3.6860589172645377e-7,4.260068781216206e-5,4318.8277240351845,715.941292940405,200465.44437290437,1041.3640649589136,198021.87908071777,3.6354664273721444,1.4040495505986609e-14,1.1653156516160801e-15,0.05100409756215433,0.01971611270454562,-0.05261765086466485
16,15,-6.407607651815693,-4.328596585492729,3.911941468938777e-7,4.692490634488934e-5,4289.462109296771,714.4730134674262,200634.1673931894,1036.8214956567533,186823.5178725806,3.632504070904859,1.0941284938381197e-14,9.801252046938601e-16,0.053924941326162996,0.019748300823137006,-0.05542474433298742
17,16,-6.381118850969631,-4.287028086159134,4.1579680610965346e-7,5.1638297330701946e-5,4261.32393961251,713.0661061862343,200796.10465091057,1032.4451981426007,175990.0780331741,3.6296464533181085,8.503738099856116e-15,7.689259938087779e-16,0.057069037305521216,0.019783251155770898,-0.058428564208024864
18,17,-6.354013243284806,-4.245866277194408,4.425748763714384e-7,5.677193839181374e-5,4234.446704450247,711.7222455698388,200951.02939782562,1028.243313971252,165547.26516447501,3.6268992212893827,6.529461250738222e-15,6.27997458529683e-16,0.06043901179030019,0.019820638171104202,-0.06163708898495116
19,18,-6.326331847638675,-4.205097953732458,4.7170247216254746e-7,6.235941699475599e-5,4208.848292921755,710.4423260740909,201098.80520852198,1024.2215287901565,155514.66096651525,3.6242664457800706,5.0412252327583974e-15,4.935269488897576e-16,0.06403061813017981,0.01986002320201141,-0.06505714916032987
20,19,-6.298114400497774,-4.164708660721409,5.033679956950852e-7,6.843705920322512e-5,4184.532783712737,709.2265516340893,201239.3764073278,1020.3832846136748,145906.12143968945,3.621750747944372,3.780571583854275e-15,4.1547433419986374e-16,0.0678275904148116,0.01990105020271523,-0.06869389690334918
21,20,-6.269399065161294,-4.124683011092405,5.377754035483119e-7,7.504417523663043e-5,4161.492280759332,708.0745274479061,201372.7580541087,1016.7300145186841,136730.25968282772,3.619353441126572,2.2549412589153822e-15,2.3489965456128393e-16,0.07179199684569926,0.019943334247643385,-0.07255018395646567
22,21,-6.2402224757834714,-4.085005314102077,5.751452325433034e-7,8.222325889059508e-5,4139.708902090791,706.9853594186249,201499.02487673922,1013.261416171104,127991.05342781884,3.617074700036454,4.796498718115039e-16,2.076428319275543e-17,0.07584563585978883,0.019986537635969415,-0.07662587819811768
23,22,-6.214672057498419,-4.05099534026681,6.099973418310937e-7,8.892106585322208e-5,4121.882190843742,706.0940245926582,201602.47482683396,1010.4121891597595,120792.72279098649,3.615200925245825,6.895323086511149e-17,1.1297686290430435e-18,0.07930527509439153,-0.020024303736216255,-0.08032096782010595
24,23,-6.196696945394289,-4.027444907336544,6.357744262242592e-7,9.387611161726156e-5,4109.995898052325,705.4997104423196,201671.51104635338,1008.5070606520447,115969.7632852213,3.613947043441958,2.489495281441563e-16,2.1323467649202556e-17,0.08160249706726287,0.020050728066451334,-0.08298839585110868
25,24,-6.184093931484349,-4.011105779515471,6.544946012387264e-7,9.747521919822759e-5,4101.969006980194,705.0983662101197,201718.15840233242,1007.2180837584825,112702.19533967199,3.61309823640432,3.5256262702279814e-11,1.8915005046537113e-12,0.08310208321062497,0.02006919455630281,-0.08489170244533885
26,25,-6.175467125822033,-4.0,6.676254353543178e-7,0.0001,4096.615537688238,704.8306929729432,201749.28146675316,1006.3573189625188,110518.16397553071,3.6125312079223506,8.25881818654756e-14,3.5568171073017074e-15,0.08405990686862377,0.02008173351840155,-0.08621119261109354
27,26,-6.175467125822033,-4.0,6.676254353543178e-7,0.0001,4096.615537688238,704.8306929729432,201749.28146675316,1006.3573189625188,110518.16397553071,3.6125312079223506,8.25881818654756e-14,3.5568171073017074e-15,0.08405990686862377,0.02008173351840155,-0.08621119261109354
28,27,-6.166811001829982,-3.9889182986012846,6.81065683350714e-7,0.00010258448945784438,4091.356060630698,704.5677193275204,201779.86744918575,1005.5108141965363,108368.76635252411,3.6119734130263947,3.555485805522222e-11,1.855180438566876e-12,0.08495582211635376,0.02009428205149797,-0.0875520828328763
29,28,-6.154058811863655,-3.972701672558088,7.01360314251558e-7,0.0001064874255067539,4083.807244770818,704.1902788511669,201823.78306446952,1004.294364073701,105277.3480882139,3.6111715677209464,4.751469286213069e-17,7.016968304154522e-18,0.08614413511588662,-0.02011266224946962,-0.0896299188727946
30,29,-6.1356485324755585,-3.9495084273148,7.317310220503739e-7,0.00011232891724751709,4073.3140088057776,703.6656174808875,201884.85974668965,1002.6005321568159,100967.49722023221,3.6100544971816597,9.768555313080672e-17,8.498478387803679e-19,0.08756814347442915,-0.020138973263863533,-0.09045339669378745
31,30,-6.10901626472613,-3.916385269061256,7.780074134039601e-7,0.00012123129125716982,4058.9402693306965,702.9469310915874,201968.58319997886,1000.2747998054638,95039.93443013357,3.6085196441951988,1.889997133070422e-16,5.4760361382808965e-18,0.08906003977757602,0.02017640741882221,-0.09033981377425836
32,31,-6.077909053484436,-3.8782855372388267,8.357780219298444e-7,0.0001323471101521791,4043.2819661567687,702.1640165672238,202059.86794782337,997.7339407982726,88551.11489018577,3.606841426858889,8.113966891231605e-16,7.34637836421783e-17,0.09016202743001485,0.020219108851410757,-0.09025320401554524
33,32,-6.0465250285220735,-3.84043046099072,8.98410815392278e-7,0.00014440077995676713,4028.629109573065,701.4313743294207,202145.36587848206,995.3493163986794,82449.08927242398,3.6052650751539255,8.96267565489846e-16,6.888517842556529e-17,0.09084057907178743,0.02026096047773735,-0.09017670552743584
34,33,-6.014886512474469,-3.802805306624518,9.663033552569368e-7,0.00015746886361234837,4014.9327510870603,700.7465569559588,202225.34814937806,993.1142614497503,76719.19580810159,3.6037864317075963,5.542143248508137e-16,3.0933670526371115e-17,0.0912715372858647,0.020301793412857278,-0.09010649515069552
35,34,-5.983013973511304,-3.765395718444746,1.0398867067292404e-6,0.00017163437842317712,4002.1436629570458,700.1071030621133,202300.08937832736,991.0219023162283,71345.9438930741,3.602401176143061,4.9078537766260975e-16,3.1601382982047676e-17,0.09155486904233766,0.02034144617773393,-0.09004146988520531
36,35,-5.950926288229549,-3.728187956988613,1.1196278991241229e-6,0.00018698727086973203,3990.2129674314415,699.510568762605,202369.86382185866,989.0652719679098,66313.33161841784,3.6011049019540686,3.8745188483259974e-16,2.340745220735386e-17,0.09174629374323172,0.020379799064747333,-0.08998107571898127
37,36,-5.918640843645584,-3.6911689223426394,1.2060329028969093e-6,0.0002036249907825088,3979.092576425751,698.9545496554294,202434.94265466472,987.2373948283603,61605.08711790165,3.5998931738232525,3.1741106137378995e-16,8.652708508344734e-18,0.09187790111100036,0.020416795038688353,-0.08992493302102489
38,37,-5.886173638651304,-3.6543261658580954,1.2996498510368696e-6,0.00022165311250435868,3968.735539816907,698.4366982365674,202495.5917834315,985.5313567919393,57204.87209142845,3.598761575422098,1.9873628515402416e-16,2.2579605896773557e-17,0.0919690357549703,0.020452338603877244,-0.08987273515516622
39,38,-5.853539383168478,-3.617647892370211,1.4010725255837717e-6,0.0002411860070524186,3959.0963147922466,697.9547373674249,202552.07012641887,983.9403620552794,53096.45101737657,3.597705748671504,1.4987967157934395e-16,5.313311409130015e-19,0.09203189871922875,-0.020486363668375595,-0.0898242135025881
40,39,-5.820751593736975,-3.58112295475756,1.5109441316772938e-6,0.00026234756960820486,3950.1309677408703,697.5064703694006,202604.62829447494,982.4577783672934,49263.82966480668,3.596721425435555,2.607717010624538e-16,2.247473713572655e-17,0.0920745058491873,-0.020518907416205143,-0.08977912338228015
41,40,-5.787822684678497,-3.5447408424286806,1.629961383332198e-6,0.0002852720070074215,3941.7973191006877,697.0897882662342,202653.50761445632,981.0771722174269,45691.36646678104,3.595804452584623,1.3435993956167985e-16,3.7071231869281816e-17,0.09210231403130953,0.02054989497712602,-0.08973723772379537
42,41,-5.754764054297047,-3.5084916650921776,1.7588789270720964e-6,0.0003101046902740193,3934.0550404572177,696.702674638946,202698.93944177567,979.7923353712451,42363.860163546036,3.5949508113074535,1.4449065474742733e-16,3.0677262783979855e-17,0.09211915338215085,0.020579373084053196,-0.0896983439510426
43,42,-5.721586165824358,-3.4723661329574638,1.898514131663461e-6,0.000337003077648583,3926.8657120879825,696.3432085030577,202741.14471465608,978.5973040376377,39266.61690531876,3.5941566314835196,1.8818174579175614e-16,2.872877619004974e-18,0.09212778317203628,0.020607316996349958,-0.08966224229748583
44,43,-5.688298623005546,-3.4363555343271694,2.0497522744837944e-6,0.00036613771400182245,3920.1928480969787,696.0095655653193,202780.33370836673,977.486371821893,36385.499746634996,3.5934182018525673,4.0835228187300935e-17,6.1886344595825155e-18,0.09213023554980154,-0.02063377287234739,-0.08962874478896522
45,44,-5.654910240358849,-3.400451711378762,2.2135521575464225e-6,0.00039769331300266634,3914.0018953099416,695.700018168473,202816.70595309377,976.4540974898507,33706.96318831298,3.592731976642353,8.713856617533402e-17,2.452809485773286e-17,0.09212803510144423,-0.020658779773445986,-0.08959767454450714
46,45,-5.621429108242939,-3.3646470347910227,2.3909521889065025e-6,0.0004318699289301635,3908.2602112154345,695.4129341883117,202850.45028406463,975.4953084445888,31218.075143973685,3.592094579241108,1.7844325835811631e-16,3.8812831145513954e-17,0.0921223432723701,0.020682355993086425,-0.08956886522821256
47,46,-5.58786265293444,-3.3289343777490044,2.583076968103605e-6,0.00046888422558240213,3902.937025442853,695.146775107585,202881.74499704895,974.6051007012259,28906.5284361018,3.591502803430296,8.177182272335306e-17,2.8020093582078654e-17,0.09211405592254274,0.020704531454117398,-0.08954216057093348
48,47,-5.5542176919635375,-3.2933070897570813,2.7911444174753286e-6,0.0005089708503474435,3898.003388566179,694.900093456186,202910.7580863843,973.7788360389586,26760.643668692464,3.590953612627061,1.3124431118964546e-16,6.141001737882979e-17,0.0921038708373663,-0.020725434727448793,-0.08951741392238036
49,48,-5.520500484982636,-3.2577589706016936,3.016473504622787e-6,0.0005523839221646778,3893.432111406719,694.6715297762973,202937.64754624272,973.0121369130951,24769.365083811415,3.5904441375250244,2.868635240975521e-16,2.4700799542830063e-17,0.09209233549604218,0.020745024389401866,-0.08949448781543459
50,49,-5.4867167804564,-3.222284244731428,3.2604926050442813e-6,0.0005993986428242009,3889.197697473908,694.4598092444313,202962.56171897062,972.3008796236758,22922.250790139777,3.5899716724671777,1.3154146678621094e-16,2.421930396717623e-17,0.09207988157090437,-0.0207634013705212,-0.08947325353523368
51,50,-5.452871858464712,-3.186877536260355,3.5247485580016573e-6,0.0006503130418312593,3885.276270722285,694.2637380592848,202985.63967705207,971.6411861609158,21209.458553609074,3.5895336708354004,4.093791432900246e-17,3.237470130012535e-17,0.09206685032159714,-0.02078060951657015,-0.08945359069105137
52,51,-5.41897056990601,-3.151533844749317,3.8109164730695153e-6,0.0007054498659074555,3881.645500408654,694.0821996846033,203007.01162758353,971.0294150808223,19621.728163393374,3.5891277396975876,8.189724341963839e-17,4.8730016468086066e-17,0.09205351161953133,-0.02079670808087947,-0.0894353867916502
53,52,-5.3850173723793056,-3.1162485218776723,4.12081034956901e-6,0.0007651586251155039,3878.284524497101,693.9141510194296,203026.7993301588,970.4621517058694,18150.361229992453,3.5887516339149435,5.981750371157128e-16,4.615312854768453e-17,0.09204007843457587,-0.020811780308248914,-0.08941853682593796
54,53,-5.35101636301051,-3.081017249083461,4.45639457623488e-6,0.0008298178085856587,3875.173872775813,693.758618553957,203045.11652077024,969.9361978952174,16787.199134668514,3.588403249878586,2.8443382043684555e-16,3.395739285227982e-17,0.09202671803277225,-0.020825843343567338,-0.08940294285112428
55,54,-5.3169713084740895,-3.045836016221859,4.81979638403849e-6,0.0008998372838957833,3872.295390609615,693.614694557152,203062.06933579038,969.4485615854567,15524.599729609829,3.58808061901548,4.064271931929717e-16,1.7447603386578484e-18,0.09201356075046371,0.020838916415087356,-0.08938851359051797
56,55,-5.282885672445082,-3.010701101269178,5.2133193311278305e-6,0.0009756608953200999,3869.6321640518777,693.4815333323576,203077.75673131747,968.9964462657045,14355.413284295108,3.5877819011786927,2.4972350850575087e-16,5.6005360747871166e-18,0.09200070695393732,-0.02085116448443946,-0.08937516404286783
57,56,-5.272488157695719,-3.0,5.339638334551855e-6,0.001,3868.86073450101,693.4429618846144,203082.3011500222,968.8652932983035,14016.567287104275,3.5876953362525,7.962258100315796e-13,2.1753695363950624e-15,0.09199686140182836,-0.02085471109562557,-0.08937129733446866
