b6,T_up,logT_up,eig_up,res_up,phase_up,T_down,logT_down,eig_down,res_down,phase_down,hysteresis_gap
2.4999999999999994e-7,9.747137895120975e6,6.988877154733448,-0.09511125322010108,6.014450142465481e-14,tumor_dominant,9.747137895120975e6,6.988877154733448,-0.09511125322010108,6.014450142465481e-14,tumor_dominant,0.0
2.6561876837369643e-7,9.746817484616784e6,6.988862878256771,-0.09510526817200479,6.564750236454584e-14,tumor_dominant,9.746817484616784e6,6.988862878256771,-0.09510526817200479,6.564750236454584e-14,tumor_dominant,0.0
2.822133204494382e-7,9.746477044656789e6,6.98884770881677,-0.09509890948793245,3.601499217092497e-14,tumor_dominant,9.746477044656789e6,6.98884770881677,-0.09509890948792474,4.380084715749742e-14,tumor_dominant,0.0
2.998446183857244e-7,9.746115322378663e6,6.988831590491377,-0.09509215386077367,3.334197095771666e-14,tumor_dominant,9.746115322378663e6,6.988831590491377,-0.09509215386073751,9.750451560053402e-14,tumor_dominant,0.0
3.1857743295638923e-7,9.745730986451186e6,6.988814463847471,-0.09508497653210107,1.3335472210724177e-13,tumor_dominant,9.745730986451186e6,6.988814463847471,-0.09508497653210282,6.8450517167942e-14,tumor_dominant,0.0
3.384805814941199e-7,9.74532262214634e6,6.988796265719285,-0.0950773512014785,3.556476984328885e-14,tumor_dominant,9.74532262214634e6,6.988796265719285,-0.09507735120147545,1.2086188193479322e-13,tumor_dominant,0.0
3.5962718069952363e-7,9.744888726100627e6,6.988776928972679,-0.0950692499307098,5.1619590235050576e-14,tumor_dominant,9.744888726100627e6,6.988776928972679,-0.0950692499307098,3.718906422486997e-14,tumor_dominant,0.0
3.82094915244449e-7,9.744427700745095e6,6.988756382254361,-0.09506064304479034,5.6113069634225806e-14,tumor_dominant,9.744427700745095e6,6.988756382254361,-0.09506064304485089,4.873682835537402e-14,tumor_dominant,0.0
4.0596632315633076e-7,9.74393784838331e6,6.988734549725066,-0.09505149902001792,9.991237421940642e-14,tumor_dominant,9.74393784838331e6,6.988734549725066,-0.09505149902001792,9.991237421940642e-14,tumor_dominant,0.0
4.3132909903193055e-7,9.743417364894511e6,6.988711350775646,-0.09504178437333968,5.696350848865854e-14,tumor_dominant,9.743417364894511e6,6.988711350775646,-0.09504178437333968,2.8110306679859694e-14,tumor_dominant,0.0
4.582764161943911e-7,9.742864333038248e6,6.98868669972496,-0.09503146353802931,2.395927250393233e-14,tumor_dominant,9.742864333038248e6,6.98868669972496,-0.09503146353802931,2.395927250393233e-14,tumor_dominant,0.0
4.869072689770628e-7,9.74227671533442e6,6.988660505498345,-0.09502049873556909,3.763565311645497e-14,tumor_dominant,9.74227671533442e6,6.988660505498345,-0.09502049873556909,3.763565311645497e-14,tumor_dominant,0.0
5.173268363915514e-7,9.741652346491767e6,6.988632671285396,-0.09500884983953435,5.716446833485421e-14,tumor_dominant,9.741652346491767e6,6.988632671285396,-0.09500884983953435,5.716446833485421e-14,tumor_dominant,0.0
5.496468685159386e-7,9.740988925355649e6,6.988603094175691,-0.09499647423149211,3.7215216219901056e-14,tumor_dominant,9.740988925355649e6,6.988603094175691,-0.09499647423149211,3.7215216219901056e-14,tumor_dominant,0.0
5.83986097022652e-7,9.740284006344e6,6.988571664770977,-0.09498332664331889,1.2192962379341185e-13,tumor_dominant,9.740284006344e6,6.988571664770977,-0.09498332664332307,7.867948762421132e-14,tumor_dominant,0.0
6.204706713540754e-7,9.739534990338251e6,6.988538266772261,-0.09496935899795617,1.6069745636237982e-14,tumor_dominant,9.739534990338251e6,6.988538266772261,-0.09496935899799011,5.2108772205462015e-14,tumor_dominant,0.0
6.592346221482804e-7,9.738739114994282e6,6.988502776540118,-0.09495452023125726,1.602973035392963e-14,tumor_dominant,9.738739114994282e6,6.988502776540118,-0.09495452023125725,3.766194824319538e-14,tumor_dominant,0.0
7.00420353617303e-7,9.737893444435136e6,6.988465062626408,-0.09493875611500119,5.440118432921892e-14,tumor_dominant,2931.721143835181,3.467270770293516,-0.00801170905249471,4.655188258014245e-9,intermediate,3.5211942923328916
7.44179166686788e-7,9.736994858285693e6,6.988424985275477,-0.09492200905071298,1.9591143065833476e-14,tumor_dominant,2417.2286619456795,3.383497364318791,-0.012267966749593668,5.278903655143566e-9,intermediate,3.6049276209566865
7.906718148188353e-7,9.736040040006226e6,6.988382395892785,-0.09490421787305256,3.7644541714941124e-14,tumor_dominant,2064.0215495759317,3.3149245881052924,-0.015570308455721252,2.533259944778211e-9,intermediate,3.6734578077874924
8.400690945598977e-7,9.7350254644786e6,6.98833713647869,-0.09488531762704416,5.708713794834349e-14,tumor_dominant,1787.7120975779337,3.2525404442592913,-0.018440727686054145,3.992092142273498e-10,intermediate,3.735796692219399
8.925524729832274e-7,9.733947384796511e6,6.988289039025067,-0.09486523933165208,3.7586254386267206e-14,tumor_dominant,1559.1566303952022,3.1931682011119187,-0.02105963135325715,4.0127314623213795e-10,intermediate,3.795120837913148
9.483147543308075e-7,9.732801818207208e6,6.988237924872142,-0.0948439097361049,4.5724357732604316e-14,tumor_dominant,1364.2574834983075,3.135214565748224,-0.023514008896483397,6.547688439590133e-10,intermediate,3.853023359123918
1.0075607883038165e-6,9.731584531148085e6,6.988183604022818,-0.09482125105552833,7.658763713440495e-14,tumor_dominant,1194.965012738251,3.077718474805428,-0.025852984038938796,2.3055775878288168e-9,intermediate,3.91046512921739
1.070508222603562e-6,9.730291023319181e6,6.988125874411515,-0.09479718069747116,3.288591602597337e-14,tumor_dominant,1046.187343365858,3.020024384555319,-0.02810686658814584,4.487971064516377e-9,intermediate,3.968101489856196
1.1373883024874944e-6,9.728916510726303e6,6.988064521124339,-0.09477161096213894,8.111950932813855e-14,tumor_dominant,914.4657345836168,2.961642093520565,-0.030295289660775687,3.4975648548089935e-9,controlled,4.026422427603774
1.2084467202775105e-6,9.727455907626703e6,6.987999315567131,-0.09474444873346552,2.7620980469775678e-14,tumor_dominant,797.320147417756,2.9021770898146353,-0.0324311702430634,3.967896614929142e-9,controlled,4.085822225752496
1.2839445179413834e-6,9.725903807303783e6,6.987930014577727,-0.09471559514611835,4.688048183231397e-14,tumor_dominant,692.8930632144849,2.8412925459097518,-0.03452283204601042,1.4150255586377935e-9,controlled,4.146637468667976
