b5,b6,T365,T10000,logT10000,M10000,NK10000,CTL10000,B10000,phase,phase_code
1.0e-5,2.0000000000000002e-7,3715.3023341198473,4041.3126652092574,3.606629902332038,702.0655639185405,202071.35728325788,997.4233893261048,370088.07372903364,intermediate,1
1.0e-5,2.1658127948788786e-7,2976.9555503761685,3018.6466157124896,3.479956121160447,650.9322759881188,208218.13391160747,814.0469643313332,377226.3675777457,intermediate,1
1.0e-5,2.3453725312305292e-7,2477.2055478691295,2487.379878586658,3.395916680914438,624.3689639898845,211561.29450806635,703.6757979768244,381044.4289690456,intermediate,1
1.0e-5,2.5398189184482656e-7,2098.541567494095,2101.6824855832565,3.3227736972369852,605.0841005044857,214056.47354061267,616.1386481741009,383865.1110856267,intermediate,1
1.0e-5,2.7503861551253435e-7,1793.2452139505772,1794.3738290298136,3.2541548902298607,589.7186782124596,216087.06670293523,541.5219245046322,386142.59415187244,intermediate,1
1.0e-5,2.978410762814096e-7,1537.9100488970066,1538.3672116319874,3.1873422318928446,576.9183571013106,217808.3261897578,475.8266163356614,388060.6167182508,intermediate,1
1.0e-5,3.225340069253865e-7,1319.500444483335,1319.705819730961,3.120806091577054,565.9852829872907,219300.3618012573,417.0184007047616,389714.00382549164,intermediate,1
1.0e-5,3.4927413949127666e-7,1130.0621228934924,1130.1630189511372,3.0535251983198783,556.508143394342,220610.34633175613,363.92885188297817,391158.6589034669,intermediate,1
1.0e-5,3.7823120011525856e-7,964.3927426945845,964.4462071868253,2.9847280807329626,548.2223033061675,221768.55593588375,315.8335577508439,392430.5258778096,controlled,0
1.0e-5,4.095889863160102e-7,818.8943917579898,818.9244246017957,2.9137738237361295,540.9461926546153,222795.6955628669,272.25694414011014,393554.23966589733,controlled,0
1.0e-5,4.4354653360234233e-7,690.9564143451079,690.9741564870126,2.8400898749413397,534.5487019820164,223706.70937887978,232.869074424981,394547.60241354833,controlled,0
1.0e-5,4.803193788000626e-7,578.5986186463036,578.6094189777889,2.7631354343851298,528.9304670834213,224512.91899720608,197.42569075465838,395424.1104730197,controlled,0
1.0e-5,5.201409281167251e-7,480.2524790640816,480.2591968454252,2.6823790419473204,524.0129542759317,225223.36029847426,165.73035346963633,396194.5015215967,controlled,0
1.0e-5,5.63263938627689e-7,394.62025273686635,394.62445633844385,2.5972831305604798,519.7312169475127,225845.62320906384,137.60937856381858,396867.7409108077,controlled,0
1.0e-5,6.099621225868601e-7,320.5806859418641,320.58324575243125,2.507293414246785,516.0291575620545,226386.42116474986,112.89458751115501,397451.68305525987,controlled,0
1.0e-5,6.605318847450488e-7,257.12422577508744,257.12589651979965,2.4118315773895347,512.8562810296581,226851.97950807787,91.41145316437067,397953.52303713915,controlled,0
