equilibrium,b6,T,M,NK,CTL,B,residual,max_real_eig,n_unstable,stable
low,1.5e-6,473.77863926408,523.6889308381587,225270.33150653643,163.61298116755356,138180.9244743928,1.036597526038756e-12,-0.03971568641402821,0,true
saddle,1.5e-6,13948.413779426177,1197.4197161814304,157133.24277848456,1726.6305669766805,71560.78579142562,1.630104175563008e-16,0.0375245411734349,1,false
high,1.5e-6,9.721460689611899e6,486100.9594168139,718.494342098077,15.801874056001509,205.63500454495622,1.3272897237404858e-14,-0.09463305529353239,0,true
