run_id,replicate,git_sha,source_fingerprint,julia_version,solver,noise_mode,gompertz_mode,dt_initial,dtmax,adaptive,initial_attractor,final_attractor,switched,valid,seed,b6,noise_scale,noise_horizon,relax_horizon,noise_retcode,relaxation_retcode,noise_reached_horizon,relaxation_reached_horizon,min_state_saved,T_min_noise,T_max_noise,low_distance,high_distance,nearest_distance,noise_solver_rejections,relaxation_solver_rejections,noise_end_T,noise_end_M,noise_end_NK,noise_end_CTL,noise_end_B,relax_end_T,relax_end_M,relax_end_NK,relax_end_CTL,relax_end_B
1,1,7f3bcef5a08e3ee69ec959154bc064e98543e76d,5fccb18775a1c53c589e1a644bcdca5c2966e2c9f1b72779e18c5571bee51811,1.12.5,SOSRI,paper_common,continuation,0.01,0.05,true,low,low,false,true,21260806,1.5e-6,0.0,60.0,1500.0,Success,Success,true,true,163.61298116695102,473.7786392630526,473.77863927438017,1.718962169835166e-11,2.920870837098935,1.718962169835166e-11,0,2,473.77863927438017,523.6889308413589,225270.33150593066,163.6129811691308,138180.9244737207,473.7786392436076,523.6889308366257,225270.33150531066,163.6129811799863,138180.92447268113
2,2,7f3bcef5a08e3ee69ec959154bc064e98543e76d,5fccb18775a1c53c589e1a644bcdca5c2966e2c9f1b72779e18c5571bee51811,1.12.5,SOSRI,paper_common,continuation,0.01,0.05,true,low,low,false,true,21260807,1.5e-6,0.0,60.0,1500.0,Success,Success,true,true,163.61298116695102,473.7786392630526,473.77863927438017,1.718962169835166e-11,2.920870837098935,1.718962169835166e-11,0,2,473.77863927438017,523.6889308413589,225270.33150593066,163.6129811691308,138180.9244737207,473.7786392436076,523.6889308366257,225270.33150531066,163.6129811799863,138180.92447268113
3,3,7f3bcef5a08e3ee69ec959154bc064e98543e76d,5fccb18775a1c53c589e1a644bcdca5c2966e2c9f1b72779e18c5571bee51811,1.12.5,SOSRI,paper_common,continuation,0.01,0.05,true,low,low,false,true,21260808,1.5e-6,0.0,60.0,1500.0,Success,Success,true,true,163.61298116695102,473.7786392630526,473.77863927438017,1.718962169835166e-11,2.920870837098935,1.718962169835166e-11,0,2,473.77863927438017,523.6889308413589,225270.33150593066,163.6129811691308,138180.9244737207,473.7786392436076,523.6889308366257,225270.33150531066,163.6129811799863,138180.92447268113
4,4,7f3bcef5a08e3ee69ec959154bc064e98543e76d,5fccb18775a1c53c589e1a644bcdca5c2966e2c9f1b72779e18c5571bee51811,1.12.5,SOSRI,paper_common,continuation,0.01,0.05,true,low,low,false,true,21260809,1.5e-6,0.0,60.0,1500.0,Success,Success,true,true,163.61298116695102,473.7786392630526,473.77863927438017,1.718962169835166e-11,2.920870837098935,1.718962169835166e-11,0,2,473.77863927438017,523.6889308413589,225270.33150593066,163.6129811691308,138180.9244737207,473.7786392436076,523.6889308366257,225270.33150531066,163.6129811799863,138180.92447268113
5,5,7f3bcef5a08e3ee69ec959154bc064e98543e76d,5fccb18775a1c53c589e1a644bcdca5c2966e2c9f1b72779e18c5571bee51811,1.12.5,SOSRI,paper_common,continuation,0.01,0.05,true,low,low,false,true,21260810,1.5e-6,0.0,60.0,1500.0,Success,Success,true,true,163.61298116695102,473.7786392630526,473.77863927438017,1.718962169835166e-11,2.920870837098935,1.718962169835166e-11,0,2,473.77863927438017,523.6889308413589,225270.33150593066,163.6129811691308,138180.9244737207,473.7786392436076,523.6889308366257,225270.33150531066,163.6129811799863,138180.92447268113
6,6,7f3bcef5a08e3ee69ec959154bc064e98543e76d,5fccb18775a1c53c589e1a644bcdca5c2966e2c9f1b72779e18c5571bee51811,1.12.5,SOSRI,paper_common,continuation,0.01,0.05,true,low,low,false,true,21260811,1.5e-6,0.0,60.0,1500.0,Success,Success,true,true,163.61298116695102,473.7786392630526,473.77863927438017,1.718962169835166e-11,2.920870837098935,1.718962169835166e-11,0,2,473.77863927438017,523.6889308413589,225270.33150593066,163.6129811691308,138180.9244737207,473.7786392436076,523.6889308366257,225270.33150531066,163.6129811799863,138180.92447268113
7,7,7f3bcef5a08e3ee69ec959154bc064e98543e76d,5fccb18775a1c53c589e1a644bcdca5c2966e2c9f1b72779e18c5571bee51811,1.12.5,SOSRI,paper_common,continuation,0.01,0.05,true,low,low,false,true,21260812,1.5e-6,0.0,60.0,1500.0,Success,Success,true,true,163.61298116695102,473.7786392630526,473.77863927438017,1.718962169835166e-11,2.920870837098935,1.718962169835166e-11,0,2,473.77863927438017,523.6889308413589,225270.33150593066,163.6129811691308,138180.9244737207,473.7786392436076,523.6889308366257,225270.33150531066,163.6129811799863,138180.92447268113
8,8,7f3bcef5a08e3ee69ec959154bc064e98543e76d,5fccb18775a1c53c589e1a644bcdca5c2966e2c9f1b72779e18c5571bee51811,1.12.5,SOSRI,paper_common,continuation,0.01,0.05,true,low,low,false,true,21260813,1.5e-6,0.0,60.0,1500.0,Success,Success,true,true,163.61298116695102,473.7786392630526,473.77863927438017,1.718962169835166e-11,2.920870837098935,1.718962169835166e-11,0,2,473.77863927438017,523.6889308413589,225270.33150593066,163.6129811691308,138180.9244737207,473.7786392436076,523.6889308366257,225270.33150531066,163.6129811799863,138180.92447268113
9,9,7f3bcef5a08e3ee69ec959154bc064e98543e76d,5fccb18775a1c53c589e1a644bcdca5c2966e2c9f1b72779e18c5571bee51811,1.12.5,SOSRI,paper_common,continuation,0.01,0.05,true,low,low,false,true,21260814,1.5e-6,0.0,60.0,1500.0,Success,Success,true,true,163.61298116695102,473.7786392630526,473.77863927438017,1.718962169835166e-11,2.920870837098935,1.718962169835166e-11,0,2,473.77863927438017,523.6889308413589,225270.33150593066,163.6129811691308,138180.9244737207,473.7786392436076,523.6889308366257,225270.33150531066,163.6129811799863,138180.92447268113
10,10,7f3bcef5a08e3ee69ec959154bc064e98543e76d,5fccb18775a1c53c589e1a644bcdca5c2966e2c9f1b72779e18c5571bee51811,1.12.5,SOSRI,paper_common,continuation,0.01,0.05,true,low,low,false,true,21260815,1.5e-6,0.0,60.0,1500.0,Success,Success,true,true,163.61298116695102,473.7786392630526,473.77863927438017,1.718962169835166e-11,2.920870837098935,1.718962169835166e-11,0,2,473.77863927438017,523.6889308413589,225270.33150593066,163.6129811691308,138180.9244737207,473.7786392436076,523.6889308366257,225270.33150531066,163.6129811799863,138180.92447268113
11,11,7f3bcef5a08e3ee69ec959154bc064e98543e76d,5fccb18775a1c53c589e1a644bcdca5c2966e2c9f1b72779e18c5571bee51811,1.12.5,SOSRI,paper_common,continuation,0.01,0.05,true,low,low,false,true,21260816,1.5e-6,0.0,60.0,1500.0,Success,Success,true,true,163.61298116695102,473.7786392630526,473.77863927438017,1.718962169835166e-11,2.920870837098935,1.718962169835166e-11,0,2,473.77863927438017,523.6889308413589,225270.33150593066,163.6129811691308,138180.9244737207,473.7786392436076,523.6889308366257,225270.33150531066,163.6129811799863,138180.92447268113
