seed,branch_index,step,q,b6,T,M,NK,CTL,B,logT,residual,max_real_eig,stable,n_unstable,n_imag
low_seed,1,0,-4.522878745280337,3.000000000000001e-5,196521.59127509658,10325.886463826535,30821.17421236376,633.1659653827043,9500.43495929213,5.293412481948923,3.4171621813971186e-11,0.10676247546962203,false,1,0
low_seed,2,1,-4.529299741995561,2.955971605579332e-5,193360.48468951456,10167.837296705167,31256.19236589373,641.4056362146977,9645.261289139558,5.286369972060268,4.515477477748368e-16,0.10682270486726095,false,1,0
low_seed,3,2,-4.537677179662981,2.899498045519113e-5,189327.08564567324,9966.175061949989,31829.409470761937,652.2308914253622,9836.590370420663,5.2772150436319665,2.305837304589505e-16,0.10688903489956557,false,1,0
low_seed,4,3,-4.546072803089487,2.8439843152971503e-5,185385.39600579673,9769.097964750157,32410.27739456522,663.1633175977281,10031.047950364744,5.268077861651067,2.748372680891176e-16,0.10694170257031711,false,1,0
low_seed,5,4,-4.554486565621353,2.7894169422712256e-5,181533.17141407673,9576.493802233308,32998.81837706597,674.2016750759902,10228.667016682286,5.25895838727695,7.98331036892797e-16,0.1069807396423886,false,1,0
low_seed,6,5,-4.562918420771166,2.735782575967985e-5,177768.22671661852,9388.253330927599,33595.05220196509,685.3446382143903,10429.480347378885,5.249856583271644,2.45576763021282e-16,0.10700618214285046,false,1,0
low_seed,7,6,-4.571368322097814,2.6830679893668955e-5,174088.43422969614,9204.270180208128,34198.99613862203,696.5907942767308,10633.520491299849,5.2407724138802045,2.2695642837309226e-16,0.10701807040132637,false,1,0
low_seed,8,7,-4.579836223089853,2.631260080024483e-5,170491.72206572568,9024.440768627654,34810.664885140905,707.9386424071037,10840.819748431275,5.231705844711761,7.07867276118075e-16,0.10701644908126243,false,1,0
low_seed,9,8,-4.5883220770522435,2.580345871048095e-5,166976.07251474806,8848.664223021133,35430.070512942744,719.3865926755776,11051.410149974687,5.222656842621173,4.552036799749969e-16,0.10700136720409442,false,1,0
low_seed,10,9,-4.59682583699643,2.530312511928082e-5,163539.5204792966,8676.842300277947,36057.22241294519,730.9329652025858,11265.323438213569,5.213625375591254,3.6582596940173643e-16,0.10697287816631183,false,1,0
