seed,type,status,q,b6,T,branch_index,continuation_step,precision,interval_left,interval_right,delta_real,delta_imag
high_seed,endpoint,converged,-7.0,1.0e-7,9.750214515764663e6,2,0,0.0,-7.0,-7.0,0,0
high_seed,endpoint,converged,-4.522878745280337,3.000000000000001e-5,9.11547356322821e6,245,245,0.0,-4.522878745280337,-4.522878745280337,0,0
low_seed,endpoint,converged,-4.522878745280337,3.000000000000001e-5,196521.59127509658,2,0,0.0,-4.522878745280337,-4.522878745280337,0,0
low_seed,bp,guessL,-6.1754671251725055,6.676254363528133e-7,4096.841065823552,182,181,6.493889870284875e-10,-6.1754671258218945,-6.1754671251725055,-1,0
low_seed,endpoint,converged,-4.522878745280337,3.000000000000001e-5,8.131755049443905e-16,864,864,0.0,-4.522878745280337,-4.522878745280337,0,0
