b5,T365,M365,NK365,CTL365,B365
1.0e-5,9.75226459226427e6,487638.15922105586,716.2354606685475,15.751960490280426,2042.3346938916065
3.0e-5,9.752264830277883e6,487638.1710985642,716.2347638360342,15.751940366341625,682.6371033484943
0.0001,9.752265041380951e6,487638.18163315044,716.2341457903767,15.751936677751058,204.98707223224784
0.0003,9.752265136493519e6,487638.1863795184,716.2338673294863,15.751929729362288,68.34771864749963
0.001,9.75226517581533e6,487638.1883417829,716.2337522072374,15.751927197984822,20.506277511383622
