b5,success_prob,mean_success_tumor,mean_time_to_extinction
1.0e-5,0.29,462084.17637481453,57.070422535211264
3.0e-5,0.32,412577.02190010354,78.5
0.0001,0.14,394224.01383522694,46.66279069767442
0.0003,0.28,992308.9487636741,57.59722222222222
0.001,0.41,73147.1330324629,28.89830508474576
